device,pdb_entry,chain,source_is_path,windows,accepted,foreign,complement_full,educated,pearson_mean,spearman_mean,auc_mean,metrics_mode,window_size,stride,bmap,assume_folded,folding_threshold
mps,af_pdbs/AF-P69905-F1-model_v4.pdb,,True,6,0,6,6,0,0.9994818468888601,0.999999980131785,nan,per_window,48,16,plddt,False,0.95
mps,af_pdbs/AF-P68871-F1-model_v4.pdb,,True,7,0,7,7,0,0.9999122449329921,0.9999999829701015,nan,per_window,48,16,plddt,False,0.95
mps,af_pdbs/AF-P05067-F1-model_v4.pdb,,True,46,0,46,46,0,0.9999957084655762,0.9999999818594559,nan,per_window,48,16,plddt,False,0.95
